id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
7217,marketing,Бизнес,Услуги характеризуются пятью отличительными признаками. К ним относятся:,"Неосязаемость, ценность, непостоянство качества, неотделимость и отсутствие собственности.","Неосязаемость, ценность, непостоянство качества, неотделимость и прибыльность.","Неосязаемость, несохраняемость, непостоянство качества, неразделимость и отсутствие собственности.","Неосязаемость, ценность, непостоянство качества, неотделимость и взаимосвязь.",C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,Услуги характеризуются пятью отличительными признаками.,К ним относятся:,"Это труднотранслируемость, нехранимость, неконкретность, ненадежность и ненаблюдаемость.","Услуги характеризуются пятью отличительными признаками. **Это: неопределенность в пространстве и времени, невозможность инвентаризации, невозможность хранения, невозможность перепродажи и невозможность передачи права собственности.**",0.0,0.0,0.69,0.69
2259,elementary_mathematics,Математика,"Какое число, записанное в экспоненциальной системе счисления, эквивалентно 343?",3^7,7^3,7^49,294^49,B,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Какое число, записанное в экспоненциальной","системе счисления, эквивалентно 343?","ной форме, является наибольшим среди всех чисел, записанных в экспоненциальной форме, равных 1000?","Какое число, записанное в экспоненциальной форме, является наибольшим среди $2^{10}$, $3^7$ и $4^5$?",0.0,0.0,0.41,0.52
12069,professional_law,Право,"Двое людей, проживавших вместе, решили пожениться. Мужчина просит женщину согласиться с тем, что все его имущество, которым он сейчас владеет, останется за ним, если они когда-нибудь разведутся. Она соглашается, но требует письменного подтверждения. Однако они поженились, ничего не подписав. Через три месяца муж уходит от жены к другой женщине. Он посылает ей уведомление с просьбой освободить дом в соответствии с брачным договором. Когда она не переезжает, муж подает в суд, требуя принудительного исполнения устного брачного договора. Сможет ли суд удовлетворить иск мужа?","Да, поскольку основанием для заключения договора был брак, а вступление в брак сделало договор полным и подлежащим исполнению.","Да, поскольку брачные договоры пользуются кредитом доверия при принятии решений о принудительном исполнении.","Нет, поскольку брачный договор должен быть заключен в письменной форме, в противном случае он не имеет юридической силы, пока остается устным.","Нет, потому что муж не выполнил своего обещания оформить договор в письменном виде и, следовательно, был виновен в мошенничестве.",C,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Двое людей, проживавших вместе, решили пожениться. Мужчина просит женщину согласиться с тем, что все его имущество, которым он сейчас владеет, останется за ним, если они когда-нибудь разведутся. Она соглашается, но требует письменного подтверждения. Однако они поженились, ничего не подписав. Через три месяца муж уходит от жены к другой женщине.","Он посылает ей уведомление с просьбой освободить дом в соответствии с брачным договором. Когда она не переезжает, муж подает в суд, требуя принудительного исполнения устного брачного договора. Сможет ли суд удовлетворить иск мужа?",Через три месяца муж уходит от жены к другой женщине.,"Через три месяца муж уходит от жены к другой женщине. Жена, не желая терять свои права, обращается к юристу. Юрист объясняет ей, что поскольку они не подписали никаких документов, а брак был заключен в соответствии с законом, имущество, которое она вела в браке, теперь является совместным. Однако, если муж уйдет с деньгами, которые он получил до брака, или если они не будут иметь общих детей, то он может оставить ей только то, что она принесла в брак. В итоге, судья решает, что поскольку они не подписали никаких документов, имущество, которое она вела в браке, теперь является совместным, и она может оставить ему только то, что он принес в брак.",0.0,0.0,0.72,0.74
4684,high_school_microeconomics,Экономика,Закон убывающей предельной полезности наиболее полезен для объяснения,закона предложения,закона спроса,кривизны кривой общих издержек,формы границы производственных возможностей,B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test,Закон убывающей предельной полезности наиболее,полезен для объяснения,эффективен при увеличении потребления одного из факторов производства при неизменном уровне других.,"Закон убывающей предельной полезности наиболее **важный принцип микроэкономики, описывающий, что с каждым дополнительным единицей потребляемого блага, при неизменных остальных условиях, его предельная полезность для потребителя снижается.**",0.0,0.0,0.51,0.42
7777,miscellaneous,Общие факты,"Какая из следующих пород, скорее всего, образовалась бы в результате метаморфизма глиняного сланца?",Гранит,Кварцит,Кристаллический сланец,Мрамор,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Какая из следующих пород, скорее всего, образовалась бы",в результате метаморфизма глиняного сланца?,в результате естественного отбора?,"Какая из следующих пород, скорее всего, образовалась бы в результате искусственного отбора, а не естественной эволюции?",0.0,0.0,0.57,0.66
12030,professional_law,Право,"Обвиняемый, который был неимущим, был арестован и обвинен в хранении менее одной унции марихуаны. Согласно соответствующему закону штата, хранение менее одной унции марихуаны является мелким правонарушением, наказуемым максимум одним годом тюремного заключения и/или штрафом в размере 500 $. На суде обвиняемый не признал себя виновным и просил назначить адвоката, который представлял бы его интересы. Судья первой инстанции отказался удовлетворить просьбу обвиняемого о предоставлении адвоката. Если впоследствии обвиняемый будет признан виновным, какой из нижеперечисленных приговоров является наиболее суровым, который может быть вынесен в соответствии с Конституцией?",Штраф в размере 500 $.,Шесть месяцев в тюрьме.,Один год в тюрьме.,"Приговор не будет вынесен, поскольку обвиняемому было отказано в праве на адвоката.",A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,"Обвиняемый, который был неимущим, был арестован и обвинен в хранении менее одной унции марихуаны. Согласно соответствующему закону штата, хранение менее одной унции марихуаны является мелким правонарушением, наказуемым максимум одним годом тюремного заключения и/или штрафом в размере 500 $. На суде обвиняемый не признал себя виновным и просил назначить адвоката, который представлял бы его интересы.","Судья первой инстанции отказался удовлетворить просьбу обвиняемого о предоставлении адвоката. Если впоследствии обвиняемый будет признан виновным, какой из нижеперечисленных приговоров является наиболее суровым, который может быть вынесен в соответствии с Конституцией?","Судья назначил адвоката, который представил обвиняемого. Адвокат заявил, что его клиент не виновен, и попросил отложить слушания до тех пор, пока не будет найден новый адвокат.","Судья, услышав просьбу обвиняемого, назначил ему защитника. В ходе предварительного слушания адвокат провел тщательную проверку материалов дела и обнаружил, что полиция не имела законных оснований для обыска, в результате которого были найдены наркотики. Основываясь на этом, адвокат подал ходатайство об исключении доказательств, полученных с нарушением процедуры. После рассмотрения ходатайства судья согласился с позицией защиты и постановил, что доказательства должны быть исключены из дальнейшего рассмотрения дела. В связи с этим обвинение было отклонено, и обвиняемый был освобожден под залог.",0.0,0.0,0.68,0.68
13827,virology,Медицина,Как бороться с герпесной инфекцией?,Химиотерапия,Вакцины,Гигиена и социальное дистанцирование,Нет метода,A,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,Как бороться с,герпесной инфекцией?,проблемами,"Как бороться с **стрессом и выгоранием в современном ритме жизни.**

*(Note: This completes the phrase ""How to cope with stress and burnout in the modern pace of life,"" which is a common and logical continuation for the given Russian fragment.)*",0.0,0.0,0.12,0.37
8289,moral_disputes,Философия,"Альтман считает, что существуют значительные трудности, связанные с отстаиванием позиции в поддержку цензуры, основанной исключительно на утверждениях о каком из следующих видов вреда?",об эмоциональном вреде,о причиненном вреде,о физическом вреде,об умышленном вреде,D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Альтман считает, что существуют значительные трудности, связанные с отстаиванием позиции в поддержку цензуры, основанной",исключительно на утверждениях о каком из следующих видов вреда?,на искусственный интеллект.,"на идеях о том, что цензура необходима для защиты общества от вредоносного контента, однако Алан Алтман подчеркивает, что эти аргументы часто уступают место более сложным вопросам о свободе слова и ответственности платформ.",0.0,0.0,0.55,0.35
1750,conceptual_physics,Физика,Углерод-14 образуется в основном под действием космического излучения в,атмосфере,"пище, которую мы едим",недрах Земли,радиоактивных осадках при испытаниях ядерных бомб,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,Углерод-14 образуется в основном под,действием космического излучения в,землей.,"Углерод-14 образуется в основном под действием космических лучей в атмосфере Земли, когда нейтроны сталкиваются с азотом-14, превращая его в радиоактивный изотоп углерода.",0.0,0.0,0.63,0.45
7634,miscellaneous,Общие факты,Кто был изображен на купюре в 500 долларов?,Калвин Кулидж,Эндрю Джексон,Аарон Берр,Уильям Маккинли,D,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test,Кто был изображен на купюре,в 500 долларов?,1000 рублей в России?,"Кто был изображен на купюре — это вопрос, который часто вызывает интерес у людей, но ответ на него зависит от конкретной страны и номинала. В России, например, на банкнотах изображаются выдающиеся деятели науки, культуры, искусства и государственного управления. На купюрах номиналом 1000 рублей стоит портрет Михаила Ломоносова, на 500 рублей — Александра Пушкина, на 200 рублей — Николая Гумилева, на 10 рублей — Михаила Кутузова, на 5 рублей — Петра I, а на 2 рубля — Александра Невского. Каждая банкнота не только выполняет функцию средства обмена, но и служит памятником истории и культуре нашей страны.",0.25,0.0,0.57,0.54
