id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
4725,https://oltest.kz/tests/kultura_i_iskusstvo/,Humanities,Culture and art,University,Russian,Culture and Art (Professional & University in rus),"В какой деятельности творческое начало проявляется в интерпретации музыкального произведения, что предполагает осознанный или интуитивный выбор средств?
","инструментальное музицирование
","исполнительская деятельность
","мышление
","слушание музыки
","композиторская деятельность
",B,test,"В какой деятельности творческое начало проявляется в интерпретации музыкального произведения,","что предполагает осознанный или интуитивный выбор средств?
",создавая новое звучание и смыслы.,"В какой деятельности творческое начало проявляется в интерпретации музыкального произведения, **таким образом, превращая чистую ноту в живой голос, а абстрактную партитуру в эмоциональный опыт, доступный каждому слушателю.**",0.0,0.0,0.5,0.65
18003,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),За счет какого процесса совершается работа при адиабатном расширении идеального газа?,Уменьшения внутренней энергии газа,Изменения давления,Увеличения внутренней энергии газа,Полученного количества теплоты,,A,test,За счет какого процесса совершается работа при,адиабатном расширении идеального газа?,электрическом двигателе,"За счет какого процесса совершается работа при **расширении газа в цилиндре двигателя внутреннего сгорания?**

Ответ: Работа совершается за счет **теплового расширения газа** (или **изотермического/адиабатного расширения**, в зависимости от конкретного цикла), когда под действием высокой температуры и давления газ расширяется, толкая поршень и преобразуя внутреннюю энергию топлива в механическую работу.",0.0,0.0,0.55,0.32
14992,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Функцияның нөлдерін табыңыз.
 \(y=-9x+7x^2\)",\(0;-\frac{7}{9}\),\(0;-1\frac{2}{7}\),\(0;1\frac{2}{7}\),\(0;\frac{7}{9}\),,C,test,Функцияның нөлдерін табыңыз.,\(y=-9x+7x^2\),f(x) = x^2 - 5x + 6,"Функцияның нөлдерін табыңыз.

Бұл тапсырма толық аяқталуы үшін функцияның өзі (мысалы, $f(x) = x^2 - 4$ немесе $f(x) = \sin(x)$) берілген болуы керек. Функцияның аргументінің қандай мәндерінде нөлге тең екенін анықтау үшін теңдеуді шешу қажет.

Егер нақты бір функция берілмесе, жалпы алгоритм мынадай болады:
1.  Функцияны $f(x) = 0$ теңдеуіне теңестіріңіз.
2.  Теңдеуді математикалық әдістермен (факторизация, квадрат теңдеуді шешу, тригонометриялық қасиеттер) шешіңіз.
3.  Табылған шешімдер $x$ мәндері функцияның нөлдері болып табылады.

**Мысал:**
Егер функция $f(x) = x^2 - 9$ болса:
$x^2 - 9 = 0$
$(x - 3)(x + 3) = 0$
$x_1 = 3$, $x_2 = -3$.

Демек, функцияның нөлдері: **$x = 3$ және $x = -3$**.",0.05,0.2,0.41,0.65
21583,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),Х ғасырда «Қасиетті Рим империясы» деп аталған корольдік,Испания корольдігі,Франция корольдігі,Англия корольдігі,Германия корольдігі,,D,test,Х ғасырда «Қасиетті Рим империясы»,деп аталған корольдік, құрылды.,"Х ғасырда «Қасиетті Рим империясы» **Еуропа тарихындағы ең күшті және ықпалды мемлекеттердің бірі болды. Ол антикалық дәуірден бастап орта ғасырларға дейінгі кезеңде Рим империясының қалдықтары негізінде қалыптасқан. Бұл империяның орталығы Рим қаласы болса да, оның билігі Италиядан бөлек, Германия, Франция, Испания және Батыс Еуропа елдерінің ірі қалаларына дейін созылған.

Х ғасырдағы Рим империясының ерекшелігі – оның билеушілерінің тағдыры. Империяның басшысы «император» деген атақпен аталды, ал оның билігі «Қасиетті Рим империясы» деп аталды. Бұл атақ Х ғасырдағы Рим империясының билігінің қайта қалпына келуіне және оның Еуропадағы ықпалының артуына байланысты пайда болды. Империяның билігі Х ғасырдағы Рим империясының қайта қалпына келуіне және оның Еуропадағы ықпалының артуына байланысты пайда болды.

Х ғасырдағы Рим империясының ерекшелігі – оның билеушілерінің тағдыры. Империяның басшысы «император» деген атақпен аталды, ал оның билігі «Қасиетті Рим империясы» деп аталды. Бұл атақ Х ғасырдағы Рим империясының билігінің қайта қалпына келуіне және оның Еуропадағы ықпалының артуына байланысты пайда",0.0,0.0,0.76,0.83
14118,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"K нүктесі ABCD тетраэдрінің BC қырының ортасы.\( \overrightarrow{DK}\) векторын \(\overrightarrow{a}=\overrightarrow{DA},\overrightarrow{b}=\overrightarrow{AB}\) және \( \overrightarrow{c}=\overrightarrow{AC}\)векторлары бойынша жіктеңіз.",\(\overrightarrow{DK}=\frac{1}{2}\overrightarrow{a}+\frac{1}{2}\overrightarrow{b}+\frac{1}{2}\overrightarrow{c}\),\(\overrightarrow{DK}=\overrightarrow{a}+\frac{3}{2}\overrightarrow{b}+\frac{1}{2}\overrightarrow{c}\),\(\overrightarrow{DK}=\frac{1}{2}\overrightarrow{a}+\overrightarrow{b}+\frac{1}{2}\overrightarrow{c}\),\(\overrightarrow{DK}=\overrightarrow{a}+\frac{1}{2}\overrightarrow{b}+\frac{1}{2}\overrightarrow{c}\),,D,test,K нүктесі ABCD тетраэдрінің BC қырының ортасы.\(,"\overrightarrow{DK}\) векторын \(\overrightarrow{a}=\overrightarrow{DA},\overrightarrow{b}=\overrightarrow{AB}\) және \( \overrightarrow{c}=\overrightarrow{AC}\)векторлары бойынша жіктеңіз.","n. Егер \(AB = 6\), \(AC = 8\), \(AD = 10\) және \(BC = BD = CD = 6\) болса, онда \(AK\) кесіндісінің ұзындығын табыңыз.","K нүктесі ABCD тетраэдрінің BC қырының ортасы. **Сондықтан, K нүктесі BC қырының биссектрисасында жатып, B және C төбелеріне тең қашықтықта орналасқан.**",0.19,0.15,0.55,0.39
22837,https://ymnik.kz/tests_old/worldhistory/?v=17,Humanities,World_History,High School,Russian,World History (High School in rus),На Вашингтонской конференции 1921 г. был подписан специальный договор по поводу:,Китая,Англии,Японии,Франции,России,A,test,На Вашингтонской конференции 1921 г. был подписан,специальный договор по поводу:,Договор о морских вооружениях,"На Вашингтонской конференции 1921 г. был подписан **Пятисторонний пакт о морских вооружениях, а также ряд других соглашений, регулировавших торговлю, дипломатические отношения и вопросы контроля над морскими путями.**",0.0,0.0,0.55,0.61
8663,https://ymnik.kz/tests_old/history_kz/?v=57,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),"Көне дәуір авторларының еңбектерінде ""сармат"" атауының кездесетін мерзімі",б.з.б. ІУ ғасыр,б.з.б. У ғасыр,б.з. бас кезі,б.з.б. ІІІ ғасыр,б.з. ІІ ғасыры,D,test,"Көне дәуір авторларының еңбектерінде ""сармат""",атауының кездесетін мерзімі,терминінің алғашқы кездесуі болып табылады.,"Көне дәуір авторларының еңбектерінде ""сармат"" сөзі жиі кездеседі, бірақ оның мағынасы әртүрлі түсіндіріледі. Кейбір зерттеушілер оны ""қара"" немесе ""қарақұмық"" деп аударып, сарматтардың түсіне қатысты екенін айтады. Ал басқа авторлар бұл сөзді ""қарапайым"", ""төменгі"" немесе ""қарама-қарсы"" деген мағынада қолданады. Бұл сөздің нақты этинонимдік мағынасы әлі де толық ашылмаған, бірақ ол сарматтар халқының тарихы мен этникалық құрылымын зерттеуде маңызды рөл атқарады.",0.0,0.0,0.51,0.81
17336,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),"Идеал газ қысымы \(T_0\) температурада \(P_0\) болды. Тұрақты массада және тұрақты көлемде газ температурасын \(1,5\) есе арттырды. Осы кездегі қысымның өзгерісі",\(P= \frac49P_0  \),\( P= \frac32P_0\),\(P= \frac94P_0  \),\(P= \frac23P_0\),,B,test,"Идеал газ қысымы \(T_0\) температурада \(P_0\) болды. Тұрақты массада және тұрақты көлемде газ температурасын \(1,5\) есе арттырды.",Осы кездегі қысымның өзгерісі,. Қысымы неше есе болады?,"Қысымы \(2,25 P_0\) болды.

**Түсіндірме:**
Бұл есепте газдың массасы мен көлемі тұрақты болғандықтан, идеал газ заңы бойынша қысым мен температура тікелей пропорционал (Гей-Люссак заңы):
\[ \frac{P_1}{T_1} = \frac{P_0}{T_0} \]
Мұндағы \(T_1 = 1,5 T_0\).
Сонда:
\[ P_1 = P_0 \cdot \frac{T_1}{T_0} = P_0 \cdot 1,5 \]
*Ескерту:* Егер сұрақ ""1,5 есе арттырды"" деген сөз тіркесін дұрыс түсіндірсек, бұл температураны бастапқы мәнінен 1,5 есе *көбейткенді* білдіреді (яғни жаңа температура \(1,5 T_0\)). Дегенмен, кейбір контексттерде ""арттырды"" сөзі қосымша мөлшерді білдіруі мүмкін. Бірақ физикалық есептерде ""температурасын \(k\) есе арттырды"" деген сөйлем көбінесе \(T_{new} = k \cdot T_{old}\) дегенді білдіреді.

Егер \(T_1 = 1,5 T_0\) болса:
\(P_1 = 1,5 P_0\).

Егер ""1,5 есе арттырды"" деген сөз тіркесі температураны бастапқы мәніне қосымша 1,5 есе *қосқан* деген мағынада болса (яғни \(T_1 = T_0 + 1,5 T_0 = 2,5 T_0\)), онда қысым \(2,5 P_0\) болады.

А",0.0,0.0,0.53,0.74
4446,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),Главное квантовое число характеризует,Общий запас энергии электрона,Возможные положения орбиталей в пространстве,Форму орбитали,Вращение электрона вокруг своей оси,,A,test,Главное квантовое,число характеризует,"ое число, которое не может быть представлено в виде отношения двух целых чисел, называется иррациональным числом.","Главное квантовое — это не просто набор частиц, а фундаментальная ткань реальности, где наблюдение формирует саму суть бытия. В этом мире вероятности не исчезают, а становятся основой для новых возможностей, где каждое состояние существует одновременно, пока не происходит измерение.",0.0,0.0,0.32,0.35
10077,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Председателем специального комитета содействия постройке Турксиба при правительстве РСФСР был,С. Садвакасов,Н. Нурмаков,Т. Рыскулов,В. Шатов,,C,test,Председателем специального комитета содействия постройке Турксиба,при правительстве РСФСР был,является депутат Госдумы от партии «Единая Россия» Руслан Халиков.,"Председателем специального комитета содействия постройке Турксиба был назначен И.В. Сталин, который лично курировал этот масштабный проект, ставший символом индустриализации Советского Союза в 1930-е годы.",0.0,0.0,0.59,0.52
