id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
143,high_school_psychology,Общество,"Согласно Закону об улучшении образования лиц с ограниченными возможностями, что из перечисленного ниже должно сделать образовательное учреждение, прежде чем изменить образовательную программу учащегося с ограниченными возможностями?",Дать ребенку испытательный срок в новой обстановке,Уведомить родителей в письменной форме,Получить разрешение школьного совета,Получить согласие родителей,B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",train,"Согласно Закону об улучшении образования лиц с ограниченными возможностями, что из перечисленного ниже должно сделать","образовательное учреждение, прежде чем изменить образовательную программу учащегося с ограниченными возможностями?","Согласно Закону об улучшении образования лиц с ограниченными возможностями, что из перечисленного ниже должно сделать","Согласно Закону об улучшении образования лиц с ограниченными возможностями, что из перечисленного ниже должно сделать:

**1. Установить приоритетное место в образовательной системе для лиц с ограниченными возможностями здоровья (ЛОНЗ).**
Это означает, что такие дети должны получать образование в том объеме и качестве, которое соответствует их возможностям, а не быть исключенными из системы из-за инвалидности.

**2. Обеспечить доступность всех образовательных учреждений и программ.**
Образовательные организации обязаны адаптировать свои здания, оборудование и учебные материалы так, чтобы они были доступны для детей с различными формами инвалидности (например, наличие пандусов, звуковозбуждающих устройств, специальных программ обучения).

**3. Гарантировать равные права на получение образования.**
Законы запрещают дискриминацию и стигматизацию детей с ограниченными возможностями. Они должны иметь право на то же образование, что и другие дети, независимо от их состояния здоровья.

**4. Создать механизмы поддержки и реабилитации.**
Образование должно быть частью комплексной системы, включающей медицинскую, социальную и психологическую поддержку, чтобы помочь детям с инвалидностью адаптироваться к учебному процессу и развить свои таланты.

**5. Обеспечить профессиональное обучение и трудоустройство.**
Целью законодательства является не только получение образования, но и подготовка детей к жизни в обществе, включая возможность получения профессиональных навыков и трудоустройства.",0.0,0.0,0.6,0.66
8786,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я позаботился о том, чтобы сообщить своей бабушке-диабетику, что в торте было лишнего сахара, после того как она съела кусочек. Сценарий 2 | Я нарисовал аэрозолем граффити на стене, чтобы она выглядела лучше.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я позаботился о том, чтобы сообщить своей бабушке-диабетику, что в торте было лишнего сахара, после того как она съела кусочек.","Сценарий 2 | Я нарисовал аэрозолем граффити на стене, чтобы она выглядела лучше.","Сценарий 2 | Я позвонил своей бабушке-диабетику, чтобы сообщить ей, что в торте было лишнего сахара, после того как она съела кусочек.","Сценарий 2 | Мне позвонил мой друг, который сказал, что я должен был купить ему новый автомобиль, потому что он «не может позволить себе жить в таком маленьком доме».",1.0,1.0,0.7,0.77
12840,professional_psychology,Общество,"Вокализация глухих и нормальных детей отличается тем, что","во второй половине первого года жизни нормальные дети увеличивают разнообразие звуков, в то время как глухие дети делают это сразу","глухие дети озвучивают больше, чем нормальные дети, в течение первых 6 месяцев, затем меньше после этого","нормальные дети много лепечут, в то время как глухие младенцы этого не делают","в течение первых 6 месяцев нормальные дети увеличивают диапазон воспроизводимого звука больше, чем глухие дети",A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,Вокализация глухих и нормальных детей,"отличается тем, что",Воспитание,"Вокализация нормальных детей

Нормальные дети, как правило, демонстрируют более свободную и естественную вокализацию звуков, особенно в начале речи. Их голосовые связки работают плавно, без выраженных задержек или патологических отклонений, что позволяет им произносить звуки четко и с правильной артикуляцией. В отличие от глухих детей, у которых может наблюдаться нарушение координации между дыханием и голосом, нормальные дети обычно способны к полноценной вокализации даже в условиях ограниченного времени, что свидетельствует о нормальном развитии дыхательной и голосовой систем.",0.0,0.0,0.54,0.36
13025,public_relations,Политика,В каком году Би-би-си начала радиовещание?,1917,1922,1925,1927,B,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,В каком году Би-би-си,начала радиовещание?,В каком году Би-би-си,"В каком году Би-би-си

**1930**",0.0,0.0,0.35,0.46
8218,moral_disputes,Философия,"Шапиро утверждает, что опросы были подтверждены лонгитюдными исследованиями, которые указывают на то, что",чрезмерное употребление запрещенных наркотиков является нормой.,умеренное и/или контролируемое употребление запрещенных наркотиков является нормой.,незаконное употребление наркотиков человеком неизбежно уменьшается с течением времени.,"те, кто начинает употреблять запрещенные наркотики, как правило, не останавливаются до тех пор, пока не становятся зависимыми.",B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"Шапиро утверждает, что опросы были подтверждены лонгитюдными исследованиями,","которые указывают на то, что","опросы были подтверждены лонгитюдными исследованиями,","Шапиро утверждает, что опросы были подтверждены лонгитюдными исследованиями, **и что эти данные демонстрируют устойчивую связь между уровнем образования и доходом населения, а также указывают на то, что бедность в России не является случайным явлением, а имеет глубокие исторические и социальные корни.**",0.0,0.0,0.61,0.59
3287,high_school_european_history,История,"Этот вопрос относится к следующей информации.
Долгое время образованные немцы отвечали на это положительно, сначала заявляя об особой немецкой миссии, затем, после краха 1945 года, критикуя отклонение Германии от Запада. Сегодня преобладает негативный взгляд. Германия, согласно преобладающему в настоящее время мнению, не отличалась от великих европейских наций до такой степени, чтобы можно было говорить об ""уникальном немецком пути"". И, в любом случае, ни одна страна на земле никогда не шла по тому, что можно назвать ""нормальным путем"".
Генрих Август Винклер, Германия: Долгий путь на Запад, том 1, 2006
Из этого отрывка можно сделать вывод, что вера в то, что у Германии была уникальная миссия в истории,",результат поражения Германии во Второй мировой войне,не был затронут поражением Германии во Второй мировой войне,была подтверждена поражением Германии во Второй мировой войне,был дискредитирован поражением Германии во Второй мировой войне,D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Этот вопрос относится к следующей информации. Долгое время образованные немцы отвечали на это положительно, сначала заявляя об особой немецкой миссии, затем, после краха 1945 года, критикуя отклонение Германии от Запада. Сегодня преобладает негативный взгляд. Германия, согласно преобладающему в настоящее время мнению, не отличалась от великих европейских наций до такой степени, чтобы можно было говорить об ""уникальном немецком пути"".","И, в любом случае, ни одна страна на земле никогда не шла по тому, что можно назвать ""нормальным путем"". Генрих Август Винклер, Германия: Долгий путь на Запад, том 1, 2006
Из этого отрывка можно сделать вывод, что вера в то, что у Германии была уникальная миссия в истории,",Вопрос:,"Вот продолжение текста, которое логически завершает мысль о том, что этот вопрос (о «немецком пути») является центральным для современной дискуссии:

Этот вопрос относится к следующей информации. Долгое время образованные немцы отвечали на это положительно, сначала заявляя об особой немецкой миссии, затем, после краха 1945 года, критикуя отклонение Германии от Запада. Сегодня преобладает негативный взгляд. Германия, согласно преобладающему в настоящее время мнению, не отличалась от великих европейских наций до такой степени, чтобы можно было говорить об ""уникальном немецком пути"". **Однако, несмотря на этот скепсис, тема остается актуальной, так как она затрагивает фундаментальные вопросы идентичности, истории и будущего Германии в мире, где она сталкивается с вызовами глобализации и изменениями в геополитике.**",0.0,0.0,0.65,0.54
7316,medical_genetics,Медицина,Наследственная атрофия зрительного нерва Лебера вызвана мутацией в:,хромосома 12.,хромосома 18.,хромосома 21.,митохондриальная ДНК.,D,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Наследственная атрофия зрительного нерва Лебера,вызвана мутацией в:,"Симптомы, которые могут быть связаны с наследственной атрофией зрительного нерва Лебера, включают потерю зрения, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах, двоение в глазах,","**Наследственная атрофия зрительного нерва Лебера**

Это редкое и тяжелое наследственное заболевание, характеризующееся прогрессирующей потерей зрения, которая начинается с края поля зрения и распространяется к центру. В отличие от других форм наследственной атрофии зрительного нерва, при которой происходит дегенерация сетчатки, при Лебере происходит дегенерация самого зрительного нерва.

**Клинические проявления:**
*   **Начальная стадия:** Пациенты часто не замечают изменений в своем поле зрения. Зрение может сохраняться до 10–15 лет, но оно постепенно ухудшается.
*   **Эпизоды обострения:** В периоды обострения (обычно в возрасте 20–40 лет) происходит резкое снижение зрения, которое может достигать 20–30% от исходного уровня.
*   **Постобостенная стадия:** После периода обострения зрение восстанавливается на 50–70% и остается на этом уровне на всю жизнь.
*   **Последствия:** К концу жизни у пациентов часто развивается слепота, но они могут сохранять способность видеть свет и различать цвета.

**Механизм развития:**
Причина заболевания неизвестна, но предполагается, что она связана с дефектом в развитии зрительного нерва. В норме зрительный нерв должен быть толще сетчатки, чтобы обеспечить достаточное количество кровоснабжения. При Лебере зрительный нерв атрофируется, становясь тоньше сетчатки, что приводит к нарушению кровотока и гибели нейронов.

**Диагностика:**
Диагноз ставится на основании:
1.  **Офтальмоскопии:** Наблюдается атрофия зрительного нерва, которая начинается с края поля зрения и распространяется к центру.
2.  **Окулистического осмотра:** Уменьшение поля зрения, которое начинается с края и движется к центру.
3.  **МРТ головного мозга:** Позволяет оценить состояние зрительного нерва и исключить другие причины снижения зрения.

**Лечение:**
На данный момент существует только симптоматическое лечение. Оно направлено на улучшение качества жизни",0.0,0.0,0.59,0.66
9339,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я совершил сеппуку в кафетерии местного детского музея Сценарий 2 | Я держал ее голову в кастрюле с кипящей водой.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год?",Сценарий 1 | Я совершил сеппуку в кафетерии местного детского музея Сценарий 2 | Я держал ее голову в кастрюле с кипящей водой.,Вам нужно лишить его возможности говорить о себе как о человеке.,"Вот второй вариант сценария, который продолжает тему и дополняет первый, предлагая два варианта, где герой совершает морально неправильное действие:

**Вариант 1 (Сценарий А):**
> ""В 2020 году, когда пандемия COVID-19 парализовала экономику, главный герой, живущий в бедном районе, решил, что его долг перед семьей перевешивает все. Он **отказался от работы**, чтобы **поддержать семью**, которая была вынуждена переехать в город, где он не знал, и где его отец, страдающий от болезни, не мог обеспечить достойное жилье. Он **отказался от помощи** от соседей, которые предлагали ему временное жилье, опасаясь, что это будет воспринято как предательство, и он **не попросил** о помощи у друзей, которые могли бы помочь ему найти работу, чтобы вернуть деньги за его уход.""

**Вариант 2 (Сценарий Б):**
> ""В 2020 году, когда цены на продукты питания взлетели до небес, главный герой, который был в долгах, решил, что его долг перед кредитной организацией перевешивает все. Он **отказался от работы**, чтобы **поддержать семью**, которая была вынуждена переехать в город, где он не знал, и где его мать, страдающая от болезни, не могла обеспечить достойное жилье. Он **отказался от помощи** от соседей, которые предлагали ему временное жилье, опасаясь, что это будет воспринято как предательство, и он **не попросил** о помощи у друзей, которые могли бы помочь ему найти работу, чтобы вернуть деньги за его уход.""

*(Примечание: В предоставленном вами тексте в первом варианте уже содержится несколько примеров морально неправильного поведения (отказ от работы, отказ от помощи, ложь/непоклонение перед друзьями). Чтобы выполнить задачу ""дополнения"", я создал два новых, полностью соответствующих сценария, которые также содержат эти нарушения, но в разных контекстах, чтобы показать разнообразие ситуаций.)*",0.5,0.0,0.5,0.36
5363,high_school_psychology,Общество,"В таком игровом шоу, как ""Jeopardy!"" , игрокам предлагается продемонстрировать какой из следующих типов интеллекта?",IQ,Кристаллизованный интеллект,Подвижный интеллект,Фактор общего интеллекта,B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"В таком игровом шоу, как ""Jeopardy!""",", игрокам предлагается продемонстрировать какой из следующих типов интеллекта?","В таком игровом шоу, как ""Jeopardy!""","В таком игровом шоу, как ""Jeopardy!"", ведущий Артур Кларк, стоящий за столом с огромным экраном, приветствует зрителей и объявляет начало игры. На экране появляется вопрос, написанный крупными буквами, и под ним — подсказка, состоящая из нескольких слов, которые игроки должны вспомнить, чтобы найти правильный ответ.",0.0,0.0,0.48,0.59
7603,miscellaneous,Общие факты,Что из перечисленного не является тканью?,Вельвет,Целотекс,Жатый ситец,Тенсель,B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Что из перечисленного не,является тканью?,является верным,Что из перечисленного не **существует** в нашей вселенной?,0.0,0.0,0.44,0.39
