subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
high_school_microeconomics,"A student decides that, having already spent three hours studying for an exam, she should spend one more hour studying for the same exam. Which of the following is most likely true?",The marginal benefit of the fourth hour is certainly less than the marginal cost of the fourth hour.,The marginal benefit of the fourth hour is at least as great as the marginal cost of the fourth hour.,"Without knowing the student’s opportunity cost of studying, we have no way of knowing whether or not her marginal benefits outweigh her marginal costs.",The marginal cost of the third hour was likely greater than the marginal cost of the fourth hour.,1,B,ok,,,https://www.crackap.com/ap/microeconomics/test27.html,"A student decides that, having already spent three hours studying for an exam, she should spend one more hour studying for the same exam.",Which of the following is most likely true?,This is an example of the sunk cost fallacy.,"This is an example of the **sunk cost fallacy**, where the student continues investing time in an activity solely because of the resources already committed, rather than evaluating whether the additional hour will actually improve her chances of success.",0.09,0.24,0.63,0.63
college_computer_science,"The hit ratio of a cache memory is the percentage of accesses (reads and writes) for which data are found in the cache. Write-through is a policy whereby every write operation updates main memory. Write-back is a policy whereby a write operation to a line found in the cache does not affect main memory until the line is evicted from the cache. Write-allocation is a policy whereby a cache line is allocated and loaded on a write-miss. If it is assumed that write-allocation is always used, which of the following is true?",Write-back usually results in a better hit ratio than write-through.,Write-through usually results in a better hit ratio than write-back.,The percentage of write operations resulting in a main memory operation will never be larger for write-back than for write-through.,The percentage of write operations resulting in a main memory operation will never be larger for writethrough than for write-back.,2,C,ok,,,Expert,The hit ratio of a cache memory is the percentage of accesses (reads and writes) for which data are found in the cache. Write-through is a policy whereby every write operation updates main memory. Write-back is a policy whereby a write operation to a line found in the cache does not affect main memory until the line is evicted from the cache.,"Write-allocation is a policy whereby a cache line is allocated and loaded on a write-miss. If it is assumed that write-allocation is always used, which of the following is true?","Which of the following statements is true?
A. Write-through has a higher hit ratio than write-back.
B. Write-back has a higher hit ratio than write-through.
C. The hit ratio is independent of the write policy.
D. The hit ratio depends on the size of the cache.","In the write-through policy, the cache and main memory are always kept consistent, which simplifies hardware design but can degrade performance due to the overhead of writing to slower main memory on every access. Conversely, the write-back policy improves performance by reducing the number of writes to main memory, as updates are only written back when the cache line is replaced; however, this approach requires additional hardware to track the ""dirty"" status of cache lines to ensure data consistency before eviction.",0.16,0.22,0.63,0.7
miscellaneous,What company makes Oreo cookies?,General Mills,Nabisco,Keebler,Kraft,1,B,no_correct_answer,,Mondelez International Inc.,,What company makes,Oreo cookies?,the iPhone?,the most popular smartphones in the world?,0.0,0.0,0.36,0.42
world_religions,What is the mi'raj?,Muhammad's miraculous ascent to heaven,Muhammad's migration to Mecca,Muhammad's first community in Mecca,Muhammad's revelations of the Qur'an,0,A,ok,,,https://learninglink.oup.com/access/content/amore4e-student-resources/amore4e-chapter-6-self-quiz,What is,the mi'raj?, the capital of France?,the question?,0.4,0.29,0.6,0.33
high_school_chemistry,Which net ionic equation below represents a possible reaction that takes place when a strip of magnesium metal is oxidized by a solution of chromium (III) nitrate?,Mg(s) + Cr(NO3)3(aq) → Mg2+(aq) + Cr3+(aq) + 3NO3-(aq),3Mg(s) + 2Cr3+ → 3Mg2+ + 2Cr(s),Mg(s) + Cr3+ → Mg2+ + Cr(s),3Mg(s) + 2Cr(NO3)3(aq) → 3Mg2+(aq) + 2Cr(s) + NO3-(aq),1,B,ok,,,www.crackap.com - AP Chemistry Question 30,Which net ionic equation below represents a possible reaction that takes place when a strip of,magnesium metal is oxidized by a solution of chromium (III) nitrate?,zinc metal is placed in a solution of copper(II) nitrate?,zinc metal is placed into a solution of copper(II) sulfate?,0.45,0.55,0.64,0.65
high_school_us_history,"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two acts—one of international terrorism and one of military aggression—present a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.…
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
—Jimmy Carter, State of the Union Address, January 23, 1980
Which of the following best expresses Carter's approach to foreign policy in the passage above?",Isolationism,Appeasement,Containment,A call for war,2,C,ok,,,https://www.crackap.com/ap/us-history/question-244-answer-and-explanation.html,"This question refers to the following information. The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills. At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two acts—one of international terrorism and one of military aggression—present a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.…
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran. Each of these factors is important in its own right.","Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail. —Jimmy Carter, State of the Union Address, January 23, 1980
Which of the following best expresses Carter's approach to foreign policy in the passage above?","But the third factor, the revolution in Iran, is the most important of all. It is the most dramatic and the most significant. It is the most important because it is the most recent. It is the most important because it is the most dangerous. It is the most important because it is the most unpredictable. It is the most important because it is the most likely to succeed. It is the most important because it is the most likely to fail. It is the most important because it is the most likely to be successful. It is the most important because it is the most likely to be unsuccessful. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely to be a failure. It is the most important because it is the most likely to be a success. It is the most important because it is the most likely",But they are even more important because they are interrelated. The Soviet invasion of Afghanistan is a direct challenge to the United States and to the Western democracies. It is a challenge to our values and to our interests. It is a challenge to our ability to maintain peace and security in the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the world. The Soviet Union is the only superpower that has the capacity to challenge the United States and to threaten the stability of the,0.05,0.04,0.83,0.79
high_school_us_history,"This question refers to the following information.
""The conscience of the people, in a time of grave national problems, has called into being a new party, born of the nation's sense of justice. We of the Progressive party here dedicate ourselves to the fulfillment of the duty laid upon us by our fathers to maintain the government of the people, by the people and for the people whose foundations they laid. We hold with Thomas Jefferson and Abraham Lincoln that the people are the masters of their Constitution, to fulfill its purposes and to safeguard it from those who, by perversion of its intent, would convert it into an instrument of injustice. In accordance with the needs of each generation the people must use their sovereign powers to establish and maintain equal opportunity and industrial justice, to secure which this Government was founded and without which no republic can endure.
""This country belongs to the people who inhabit it. Its resources, its business, its institutions and its laws should be utilized, maintained or altered in whatever manner will best promote the general interest. It is time to set the public welfare in the first place.""
Progressive Party Platform, 1912
Of the following policies, which was NOT a main objective of American Progressives?",Passage of the Pure Food and Water Act,Creation of national forests and protected wildlife reserves,Initiation of antitrust lawsuits against various corporate monopolies,Intervention in the affairs of Central American governments,3,D,ok,,,https://www.crackap.com/ap/us-history/question-35-answer-and-explanation.html,"This question refers to the following information. ""The conscience of the people, in a time of grave national problems, has called into being a new party, born of the nation's sense of justice. We of the Progressive party here dedicate ourselves to the fulfillment of the duty laid upon us by our fathers to maintain the government of the people, by the people and for the people whose foundations they laid. We hold with Thomas Jefferson and Abraham Lincoln that the people are the masters of their Constitution, to fulfill its purposes and to safeguard it from those who, by perversion of its intent, would convert it into an instrument of injustice. In accordance with the needs of each generation the people must use their sovereign powers to establish and maintain equal opportunity and industrial justice, to secure which this Government was founded and without which no republic can endure.","""This country belongs to the people who inhabit it. Its resources, its business, its institutions and its laws should be utilized, maintained or altered in whatever manner will best promote the general interest. It is time to set the public welfare in the first place."" Progressive Party Platform, 1912
Of the following policies, which was NOT a main objective of American Progressives?","In the words of Abraham Lincoln, ""government of the people, by the people, for the people, shall not perish from the earth."" We believe that the people have the right to determine their own destiny, and that the government should be the servant of the people, not their master. We believe that the people have the right to choose their own leaders, and that the government should be the instrument of the people's will, not the tool of special interests. We believe that the people have the right to speak their minds, and that the government should be the protector of free speech, not the censor of dissent. We believe that the people have the right to assemble, and that the government should be the guarantor of peaceful protest, not the suppressor of dissent. We believe that the people have the right to vote, and that the government should be the defender of the ballot box, not the purveyor of fraud. We believe that the people have the right to a fair trial, and that the government should be the upholder of justice, not the arbiter of privilege. We believe that the people have the right to education, and that the government should be the provider of opportunity, not the barrier to progress. We believe that the people have the right to health care, and that the government should be the guardian of life, not the dispenser of death. We believe that the people have the right to a clean environment, and that the government should be the steward of nature, not the destroyer of the earth. We believe that the people have the right to peace, and that the government should be the peacemaker, not the warmonger. We believe that the people have the right to prosperity, and that the government should be the promoter of wealth, not the hoarder of resources. We believe that the people have the right to happiness, and that the government should be the servant of joy, not the master of sorrow. We believe that the people have the right to freedom, and that the government should be the champion of liberty, not the jailer of conscience. We believe that the people have the right to equality, and that the government should be the equalizer of opportunity, not the perpetuator of inequality. We believe that the people have the right to dignity, and that the government should be the defender of human rights, not the violator of human rights. We believe that the people have the right to justice, and that the government should be the dispenser of","We believe that the people have the right to control their own destiny, to determine their own course, and to shape their own future. We hold that the government of the people, by the people, and for the people, is the only form of government that can secure the blessings of liberty to ourselves and our posterity. We believe that the people have the right to vote, to speak, to assemble, and to petition for redress of grievances. We believe that the people have the right to a fair trial, to a fair hearing, and to a fair judgment. We believe that the people have the right to a free press, to a free speech, and to a free assembly. We believe that the people have the right to a free education, to a free health care, and to a free environment. We believe that the people have the right to a free economy, to a free market, and to a free trade. We believe that the people have the right to a free society, to a free culture, and to a free life. We believe that the people have the right to a free future, to a free hope, and to a free dream. We believe that the people have the right to a free world, to a free peace, and to a free love. We believe that the people have the right to a free God, to a free soul, and to a free spirit. We believe that the people have the right to a free heaven, to a free hell, and to a free earth. We believe that the people have the right to a free time, to a free space, and to a free dimension. We believe that the people have the right to a free past, to a free present, and to a free future. We believe that the people have the right to a free beginning, to a free middle, and to a free end. We believe that the people have the right to a free start, to a free journey, and to a free finish. We believe that the people have the right to a free birth, to a free life, and to a free death. We believe that the people have the right to a free birthright, to a free citizenship, and to a free nationality. We believe that the people have the right to a free identity, to a free personality, and to a free character. We believe that the people have the right to a free mind, to a free heart, and to a free will",0.05,0.06,0.65,0.66
logical_fallacies,Which of the following describes the fallacy of evading the issue?,arguing that someone should do something only because of ill will towards someone else,characterizing an opponent's position in a way that makes it seem ridiculous,"supporting a claim with evidence or reasoning that is not relevant to the proposition, or responding to another's argument by changing the subject",attempting to gain agreement based only on the feelings aroused in the message,2,C,ok,,,,Which of the following describes the fallacy,of evading the issue?,"of affirming the consequent?
A. If P then Q. Q. Therefore P.
B. If P then Q. Not Q. Therefore Not P.
C. If P then Q. P. Therefore Q.
D. If P then Q. Not P. Therefore Not Q.","of assuming that because two things are related in one way, they must be related in another, or of drawing a conclusion that does not logically follow from the premises provided?",0.11,0.09,0.52,0.54
college_chemistry,Which one of the following statements is true:,Large and positive g shifts are observed when the LUMO – HOMO gap is small and λ is positive.,Large deviations in g occurs when the energy difference between the SOMO and lowest lying excited state is large.,A large deviation of g from ge is expected when λ is large and the energy difference between the SOMO and the lowest lying excited state is small.,A small deviation of g from ge is expected when λ is small and positive.,2,C,ok,,,Electron Paramagnetic Resonance,Which one of the following,statements is true:,is the correct answer to the following question?,is the correct answer?,0.29,0.18,0.66,0.62
security_studies,What is the future of WMD?,"The viability of the CWC and BCW providing a concrete basis in international law to prevent the proliferation of chemical and biological weapons is dubious. The Proliferation Security Initiative to prevent the illicit trade in materials relating to chemical and nuclear weapons is an equally piecemeal pursuit. Whilst they may serve some utility as a framework for diplomatic exchanges, they are essentially toothless bodies lacking the political will to establish an authority with the powers to police the control and use of these weapons.",The International Non-proliferation Regime has been rendered effectively defunct in the post-Cold War climate. State actors seeking to develop their own weapons capabilities have de-stabilized norms governing the use and control of WMD. This has been evidenced by severe splits in the body following the 1998 Indian and Pakistani nuclear testing and the withdrawal of great power support following the US Senate's decision not to ratify the Comprehensive Test Ban Treaty.,Contemporary concern has been pacified by the fact that WMD threat has greatly diminished with the end of the Cold War. A number of deployed Soviet (Russian) and strategic warheads and US tactical nuclear weapons have been withdrawn from service thereby removing the threat of total war by massive nuclear exchange.,"WMD terrorism poses a security threat that is not easily met by today's policy community or military establishments. The second strike rule is virtually obsolete because of the difficulty of locating such groups and deterrence is an unviable strategy given that objective of attacks are frequently politically, ideologically or religiously motivated.",3,D,ok,,"This may remain ok for a while, but things may be very different in the coming decades",https://www.academia.edu/25358029/Contemporary_Security_Studies,What is the future,of WMD?,of the world?,of humanity?,0.5,0.4,0.5,0.53
